,Time,User,Tweet
0,2022-09-27 06:56:23+00:00,TomoyaMiyanishi,"RT @kagawaissue: 四国新幹線は1兆円を超える事業であり、コロナも含めて多くの前提が崩れているので再度計画を見直すべきだと思う。だがそれを言うと、新幹線に反対なら反対のデータをだせ！と絡まれるのがとても興味深い。
賛成/反対以前に「新幹線ありき」ではない四国の交通…"
1,2022-09-27 06:56:21+00:00,yukimaru__n,"安倍の国葬ライブ見てるナウ〜‼️
なんかむずかしい言葉ばっか使っててイミフなんだけど😅😅😅😅
コロナこわいけどぉ、スガの追悼の辞聞いたら涙出た😭😭😭😭😭"
2,2022-09-27 06:56:21+00:00,cd2157f,"＜オーストリアの感染者推移 | 新型コロナ データサイト＞ 

新たな感染者　5,994人

実効再生産数　1.92
3回+4回目64.6%

https://t.co/M97ld17bJT

○"
3,2022-09-27 06:56:20+00:00,mokarruna,"RT @MNHR_Labo: アメリカはコロナ終息宣言。

収束ではなく終息。

記事中に「アメリカでは1日平均400人以上が新型ウイルスで死亡している」とありますが、日本では毎日3000人がいろいろな理由で死亡しています。

バイデン氏、アメリカで新型ウイルスのパンデミックは…"
4,2022-09-27 06:56:20+00:00,hulking51985227,"RT @azure_of_wolf: 一度聴いてみてください。
コロナワクチン接種の影響について、診察した医師の方のお話が聴けます。
当事者の意思を無視して接種を進めようとする、集団接種や同調圧力も大きな問題だと思いました。"
5,2022-09-27 06:56:20+00:00,tvAwrZcnb46Cuum,RT @partyhike: このワクチンを打つと、帯状疱疹が出たり、心筋炎になったり、自己免疫疾患で肝臓がやられたり、ぶどう膜炎で視力が低下したり、ワクチン後遺症で体調不良になるリスクがあります。なお、あなたはコロナに感染しても99％軽症で終わる年代です。それでもワクチン打ち…
6,2022-09-27 06:56:20+00:00,counterstrike92,RT @murekinnoto: News23で国葬に関する街の声拾ってたけど、賛成意見は「SMAPの番組に出てたから」「街頭演説で見かけたとき頭を下げてくれたから」「めっちゃいい人だったらしいから」一方で反対は「性的少数者に排除的だから」「コロナ禍だし優先すべき税金の使い道は…
7,2022-09-27 06:56:20+00:00,Alannaath6j,"Amazonタイムセール祭り でコロナ抗原検査キットなら人気なのはこれかねぇ

⇒https://t.co/kZwLI4RcbE

陽性・陰性テストしたいけど松山市のマツキヨにあるかな

医療用とか厚生労働省承認とかだ液とか抗体検… https://t.co/zGwUBQ2I1v"
8,2022-09-27 06:56:19+00:00,TerutakaNojima,RT @himeni_0510: またコロナなっちゃったー
9,2022-09-27 06:56:19+00:00,fraymer_keepJP,RT @PD_Geek: もう完全に明確になった事実だが、「ルールを守らない人がいるからコロナが終わらない」は明らかな間違いで、正解は「羊の様に大人しく従ってるから終わらない」だなwww
